station_seqnum,date,rgp,rgp2,who_entered
1240054,2025-06-08,0,0,7
1240054,2025-06-09,0,0,7
1240054,2025-06-10,0,0,7
1240054,2025-06-11,0,0,7
1240054,2025-06-12,0,0,7
1240054,2025-06-13,0,0,7
1240054,2025-06-14,0,0,7
1240054,2025-06-15,0,0,7
1240054,2025-06-16,0,0,7
1240054,2025-06-17,0,0,7
1240054,2025-06-18,0,0,7
1240054,2025-06-19,0,0,7
1240054,2025-06-20,0,0,7
1240055,2025-04-13,0,0,7
1240055,2025-05-05,0,0,7
1240055,2025-05-06,4.6,4.4,7
1240055,2025-05-07,0,0,7
1240055,2025-05-08,0,0,7
1240055,2025-05-16,0,0,7
1240055,2025-05-17,0,0,7
1240055,2025-05-18,0,0,7
1240055,2025-05-19,0,0,7
1240055,2025-05-20,13.8,14.2,7
1240055,2025-05-21,0,0,7
1240055,2025-05-22,0.4,0.4,7
1240055,2025-05-23,0,0,7
1240055,2025-05-24,0,0,7
1240055,2025-05-25,0,0,7
1240055,2025-05-26,0,0,7
1240055,2025-05-27,0,0,7
1240055,2025-05-28,0,0,7
1240055,2025-05-29,0,0,7
1240055,2025-05-30,0,0,7
1240055,2025-05-31,0,0,7
1240055,2025-06-01,0,0,7
1240055,2025-06-02,0,0,7
1240055,2025-06-03,0,0,7
1240055,2025-06-04,0.8,0.8,7
1240055,2025-06-05,0,0,7
1240055,2025-06-06,0,0,7
1240055,2025-06-07,0,0,7
1240055,2025-06-08,0,0,7
1240055,2025-06-09,0,0,7
1240055,2025-06-10,0,0,7
1240055,2025-06-11,0,0,7
1240055,2025-06-12,0,0,7
1240055,2025-06-13,0,0,7
1240055,2025-06-14,0,0,7
1240055,2025-06-15,0,0,7
1240055,2025-06-16,0,0,7
1240055,2025-06-17,0,0,7
1240055,2025-06-18,0,0,7
1240055,2025-06-19,75.8,75,7
1240055,2025-06-20,0,0,7
1240056,2025-04-13,0,0,7
1240056,2025-05-06,0,0,7
1240056,2025-05-07,2.2,1.2,7
1240056,2025-05-08,0,0,7
1240056,2025-05-09,0,0,7
1240056,2025-05-10,0,0,7
1240056,2025-05-11,0,0,7
1240056,2025-05-12,0,0,7
1240056,2025-05-13,46.8,47,7
1240056,2025-05-14,0,0,7
1240056,2025-05-15,0,0,7
1240056,2025-05-16,0,0,7
1240056,2025-05-17,0,0,7
1240056,2025-05-18,0,0,7
1240056,2025-05-19,0,0,7
1240056,2025-05-20,47.4,49.8,7
1240056,2025-05-21,6.6,6.8,7
1240056,2025-05-22,1,0.8,7
1240056,2025-05-23,0.4,0.6,7
1240056,2025-05-24,0,0,7
1240056,2025-05-25,0,0,7
1240056,2025-05-26,0,0,7
1240056,2025-05-27,0,0,7
1240056,2025-05-28,0,0,7
1240056,2025-05-29,0,0,7
1240056,2025-05-30,0,0,7
1240056,2025-05-31,0,0,7
1240056,2025-06-01,0,0,7
1240056,2025-06-02,0,0,7
1240056,2025-06-03,0,0,7
1240056,2025-06-04,0,0,7
1240056,2025-06-05,0,0,7
1240056,2025-06-06,0,0,7
1240056,2025-06-07,0,0,7
1240056,2025-06-08,0,0,7
1240056,2025-06-09,0,0,7
1240056,2025-06-10,0,0,7
1240056,2025-06-11,0,0,7
1240056,2025-06-12,0,0,7
1240056,2025-06-13,0,0,7
1240056,2025-06-14,0,0,7
1240056,2025-06-15,0,0,7
1240056,2025-06-16,0,0,7
1240056,2025-06-17,0,0,7
1240056,2025-06-18,0,0,7
1240056,2025-06-19,0,0,7
1240056,2025-06-20,0,0,7
1240059,2025-05-27,0,0,7
1240059,2025-05-28,0,0,7
1240059,2025-05-29,4.2,1.2,7
1240059,2025-05-30,14639.6,6.8,7
1240059,2025-05-31,12208,0,7
1240059,2025-06-01,18375.2,0.4,7
1240059,2025-06-02,15348,0,7
1240059,2025-06-03,19954.4,0,7
1240059,2025-06-04,14345.8,0,7
1240059,2025-06-05,21222.4,0.2,7
1240059,2025-06-06,16972.4,0,7
1240059,2025-06-07,16247.4,0.2,7
1240059,2025-06-08,17774,0,7
1240059,2025-06-09,17234.2,0,7
1240061,2025-05-29,2.4,1.4,7
1240061,2025-05-30,1.8,1.2,7
1240061,2025-05-31,13.2,66.4,7
1240061,2025-06-01,0,0,7
1240061,2025-06-02,0.2,0,7
1240061,2025-06-03,0,0,7
1240061,2025-06-04,0,0,7
1240061,2025-06-05,0,0,7
1240061,2025-06-06,0,0,7
1240061,2025-06-07,0,0,7
1240061,2025-06-08,0,0,7
1240061,2025-06-09,0.6,0,7
1240061,2025-06-10,0.8,0,7
1240061,2025-06-11,0,0,7
1240061,2025-06-12,0,0,7
1240061,2025-06-13,0,0,7
1240061,2025-06-14,0,0,7
1240061,2025-06-15,0,0,7
1240061,2025-06-16,0,0,7
1240061,2025-06-17,0,0,7
1240061,2025-06-18,0,0,7
1240061,2025-06-19,18.4,0,7
1240061,2025-06-20,0,0,7
